id,favorite_count,favorited,id,retweet_count,retweeted,Clean_Text
1599132687876308992,0,False,1599132687876308992,0,False,new graduate drive mercedes apartment job live cape town chief manager developer da https t co qqdrnumberznumbermnumber
1599132508024889344,0,False,1599132508024889344,0,False,ywouldeyelie catturdnumber break law consider year new voter number number y https t co zlmvkwqnumberol
1599132289346043904,0,False,1599132289346043904,59,True,rt prageru new great way gauge society examine tolerate watch streitmarissa interview zubymusic ht
1599131385754796033,0,False,1599131385754796033,0,False,wait enroll new dpt program wait long dpt program page information y https t co znbtoedmot
1599131098004721664,0,False,1599131098004721664,82,True,rt gchahal breaking bnnpakistan reports accord report mbbs graduate hafiz mohammad waleed malik set new world record
1599129620254629888,0,False,1599129620254629888,82,True,rt gchahal breaking bnnpakistan reports accord report mbbs graduate hafiz mohammad waleed malik set new world record
1599129426024800256,0,False,1599129426024800256,59,True,rt prageru new great way gauge society examine tolerate watch streitmarissa interview zubymusic ht
1599129144243392514,0,False,1599129144243392514,0,False,realcamrobnumber fancytomboy rodimusprime homecoming year party go game year ai https t co aliaphbpos
1599129134470660097,0,False,1599129134470660097,59,True,rt prageru new great way gauge society examine tolerate watch streitmarissa interview zubymusic ht
1599129037439279105,0,False,1599129037439279105,59,True,rt prageru new great way gauge society examine tolerate watch streitmarissa interview zubymusic ht
1599127822060355584,0,False,1599127822060355584,59,True,rt prageru new great way gauge society examine tolerate watch streitmarissa interview zubymusic ht
1599125771238354945,1,True,1599125771238354945,0,False,mmolemi eish life fast mara know son go to wait number year graduate new role
1599125482649554944,0,False,1599125482649554944,7,True,rt thevibesnews graduate doctor placement zaliha prescription new health minister https t co bnumbermgwcepld
1599125049713491968,0,False,1599125049713491968,59,True,rt prageru new great way gauge society examine tolerate watch streitmarissa interview zubymusic ht
1599124123283640321,0,False,1599124123283640321,0,False,sadiya_farouq good evening ma npower non graduate beneficiary happy new update get y https t co xcayxsynumbernk
1599122785246531584,0,False,1599122785246531584,59,True,rt prageru new great way gauge society examine tolerate watch streitmarissa interview zubymusic ht
1599122609001545729,1,True,1599122609001545729,0,False,mbbs graduate name waleed malik lahore set new record achieve number gold medal 🏅 absolute proud moment family
1599122355967492096,0,False,1599122355967492096,3,True,rt crres_iub congratulation crres director dina okamoto dinaoca crres graduate affiliates melissa garcia muna adem
1599122338124947457,2,True,1599122338124947457,0,False,get new car hair grow graduate saturday december start great
1599121315419811840,0,False,1599121315419811840,59,True,rt prageru new great way gauge society examine tolerate watch streitmarissa interview zubymusic ht
1599121096090931200,0,False,1599121096090931200,0,False,recommend job rochester ny https t co vgsqxnumbervennumber nursing
1599120729232265216,0,False,1599120729232265216,59,True,rt prageru new great way gauge society examine tolerate watch streitmarissa interview zubymusic ht
1599120513338871808,0,False,1599120513338871808,59,True,rt prageru new great way gauge society examine tolerate watch streitmarissa interview zubymusic ht
1599119773555912704,0,False,1599119773555912704,82,True,rt gchahal breaking bnnpakistan reports accord report mbbs graduate hafiz mohammad waleed malik set new world record
1599119473491210240,0,False,1599119473491210240,5,True,rt agristok 📌 master phd graduate assistantships applied forest ecology state university new york united states 🇺 🇸
1599118453620625408,0,False,1599118453620625408,5,True,rt agristok 📌 master phd graduate assistantships applied forest ecology state university new york united states 🇺 🇸
1599118047318769664,0,False,1599118047318769664,1,True,rt theagbeko national service personnel new graduate need employment applicant fluent write speak english pr
1599117696221605888,0,False,1599117696221605888,1,True,rt bishopalexander surprise visit una alumna taylor goodwin yesterday graduate assistant ga year
1599117555234639875,2,True,1599117555234639875,1,True,surprise visit una alumna taylor goodwin yesterday graduate assistant ga year https t co bzqqnumberknumberwes
1599117187327094784,0,False,1599117187327094784,3,True,rt trugaglardi i]t essential start put value physical asset capital present nature mytr
1599116824226201600,0,False,1599116824226201600,16,True,rt aaptelangana proud youth leader amp founder volunteer vijaymallangi masters graduate columbia university amp project ma
1599115521475358721,0,False,1599115521475358721,5,True,rt agristok 📌 master phd graduate assistantships applied forest ecology state university new york united states 🇺 🇸
1599115363228098562,0,False,1599115363228098562,12,True,rt iamsaharagroup world class learning development programme cut entire energy value chain brand new automo
